step_no,step_id,kf_id,liquidity,price,equity,debt,profit,production,sales,inventory,queue,expected_demand,intresses,loans,labour_demand,staff,first_step,lmbda,wage_bill
105,441604922,K_0,6.0,1.76184,6.0,0.0,-0.00491793,0.0,0.0,0.240978,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
106,952964454,K_0,6.0,1.76184,6.0,0.0,-0.00481957,0.0,0.0,0.236159,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
107,48546211,K_0,6.0,1.76184,6.0,0.0,-0.00472318,0.0,0.0,0.231436,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
108,941318648,K_0,6.0,1.76184,6.0,0.0,-0.00462871,0.0,0.0,0.226807,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
109,845672374,K_0,6.0,1.76184,6.0,0.0,-0.00453614,0.0,0.0,0.222271,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
110,875819671,K_0,6.0,1.76184,6.0,0.0,-0.00444542,0.0,0.0,0.217825,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
111,170690764,K_0,6.0,1.76184,6.0,0.0,-0.00435651,0.0,0.0,0.213469,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
112,787534677,K_0,6.0,1.76184,6.0,0.0,-0.00426938,0.0,0.0,0.209199,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
113,321035224,K_0,6.0,1.76184,6.0,0.0,-0.00418399,0.0,0.0,0.205016,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
114,340507489,K_0,6.0,1.76184,6.0,0.0,-0.00410031,0.0,0.0,0.200915,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
115,729035848,K_0,6.0,1.76184,6.0,0.0,-0.0040183,0.0,0.0,0.196897,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
116,231232651,K_0,6.0,1.76184,6.0,0.0,-0.00393794,0.0,0.0,0.192959,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
117,218267402,K_0,6.0,1.76184,6.0,0.0,-0.00385918,0.0,0.0,0.1891,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
118,122728158,K_0,6.0,1.76184,6.0,0.0,-0.003782,0.0,0.0,0.185318,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
119,2631090,K_0,6.0,1.76184,6.0,0.0,-0.00370636,0.0,0.0,0.181611,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
120,948966353,K_0,6.0,1.76184,6.0,0.0,-0.00363223,0.0,0.0,0.177979,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
121,780195256,K_0,6.0,1.76184,6.0,0.0,-0.00355958,0.0,0.0,0.17442,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
122,672961894,K_0,6.0,1.76184,6.0,0.0,-0.00348839,0.0,0.0,0.170931,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
123,508843757,K_0,6.0,1.76184,6.0,0.0,-0.00341862,0.0,0.0,0.167513,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
124,557570832,K_0,6.0,1.76184,6.0,0.0,-0.00335025,0.0,0.0,0.164162,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
125,153167905,K_0,6.0,1.76184,6.0,0.0,-0.00328325,0.0,0.0,0.160879,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
126,274938980,K_0,6.0,1.76184,6.0,0.0,-0.00321758,0.0,0.0,0.157662,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
127,790421553,K_0,6.0,1.76184,6.0,0.0,-0.00315323,0.0,0.0,0.154508,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
128,524885579,K_0,6.0,1.76184,6.0,0.0,-0.00309017,0.0,0.0,0.151418,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
129,455659103,K_0,6.0,1.76184,6.0,0.0,-0.00302836,0.0,0.0,0.14839,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
130,621556675,K_0,6.0,1.76184,6.0,0.0,-0.0029678,0.0,0.0,0.145422,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
131,930521538,K_0,6.0,1.76184,6.0,0.0,-0.00290844,0.0,0.0,0.142514,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
132,726198209,K_0,6.0,1.76184,6.0,0.0,-0.00285027,0.0,0.0,0.139663,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
133,706472226,K_0,6.0,1.76184,6.0,0.0,-0.00279327,0.0,0.0,0.13687,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
134,501845795,K_0,6.0,1.76184,6.0,0.0,-0.0027374,0.0,0.0,0.134133,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
135,994999742,K_0,6.0,1.76184,6.0,0.0,-0.00268265,0.0,0.0,0.13145,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
136,959704005,K_0,6.0,1.76184,6.0,0.0,-0.002629,0.0,0.0,0.128821,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
137,29699193,K_0,6.0,1.76184,6.0,0.0,-0.00257642,0.0,0.0,0.126245,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
138,449814225,K_0,6.0,1.76184,6.0,0.0,-0.00252489,0.0,0.0,0.12372,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
139,200577878,K_0,6.0,1.76184,6.0,0.0,-0.00247439,0.0,0.0,0.121245,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
140,416156185,K_0,6.0,1.76184,6.0,0.0,-0.0024249,0.0,0.0,0.11882,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
141,923968497,K_0,6.0,1.76184,6.0,0.0,-0.00237641,0.0,0.0,0.116444,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
142,585220635,K_0,6.0,1.76184,6.0,0.0,-0.00232888,0.0,0.0,0.114115,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
143,139566245,K_0,6.0,1.76184,6.0,0.0,-0.0022823,0.0,0.0,0.111833,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
144,889947229,K_0,6.0,1.76184,6.0,0.0,-0.00223665,0.0,0.0,0.109596,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
145,847170434,K_0,6.0,1.76184,6.0,0.0,-0.00219192,0.0,0.0,0.107404,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
146,323765275,K_0,6.0,1.76184,6.0,0.0,-0.00214808,0.0,0.0,0.105256,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
147,768039153,K_0,6.0,1.76184,6.0,0.0,-0.00210512,0.0,0.0,0.103151,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
148,342287823,K_0,6.0,1.76184,6.0,0.0,-0.00206302,0.0,0.0,0.101088,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
149,677529972,K_0,6.0,1.76184,6.0,0.0,-0.00202176,0.0,0.0,0.0990662,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
150,669128587,K_0,6.0,1.76184,6.0,0.0,-0.00198132,0.0,0.0,0.0970849,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
151,540983654,K_0,6.0,1.76184,6.0,0.0,-0.0019417,0.0,0.0,0.0951432,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
152,519368411,K_0,6.0,1.76184,6.0,0.0,-0.00190286,0.0,0.0,0.0932403,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
153,368761823,K_0,6.0,1.76184,6.0,0.0,-0.00186481,0.0,0.0,0.0913755,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
154,177590570,K_0,6.0,1.76184,6.0,0.0,-0.00182751,0.0,0.0,0.089548,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
155,47546871,K_0,6.0,1.76184,6.0,0.0,-0.00179096,0.0,0.0,0.087757,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
156,964161868,K_0,6.0,1.76184,6.0,0.0,-0.00175514,0.0,0.0,0.0860019,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
157,465556536,K_0,6.0,1.76184,6.0,0.0,-0.00172004,0.0,0.0,0.0842818,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
158,683321789,K_0,6.0,1.76184,6.0,0.0,-0.00168564,0.0,0.0,0.0825962,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
159,807178545,K_0,6.0,1.76184,6.0,0.0,-0.00165192,0.0,0.0,0.0809443,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
160,223242482,K_0,6.0,1.76184,6.0,0.0,-0.00161889,0.0,0.0,0.0793254,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
161,98266664,K_0,6.0,1.76184,6.0,0.0,-0.00158651,0.0,0.0,0.0777389,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
162,333744286,K_0,6.0,1.76184,6.0,0.0,-0.00155478,0.0,0.0,0.0761841,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
163,463925748,K_0,6.0,1.76184,6.0,0.0,-0.00152368,0.0,0.0,0.0746604,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
164,318455919,K_0,6.0,1.76184,6.0,0.0,-0.00149321,0.0,0.0,0.0731672,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
165,138395547,K_0,6.0,1.76184,6.0,0.0,-0.00146334,0.0,0.0,0.0717039,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
166,439127850,K_0,6.0,1.76184,6.0,0.0,-0.00143408,0.0,0.0,0.0702698,0.0,3.0,0.0,[],0.0,[],0,0.0,0.0,0.0
